1,AMD
2,Asus
3,be quiet!
4,Cooler Master
5,Corsair
6,Crucial
7,EVGA
8,G.Skill
9,Gigabyte
10,Intel
11,Kingston
12,MSI
13,Noctua
14,NVIDIA
15,NZXT
